u,v,length
24533064,1618530627,38.526
24533064,297187423,30.191
26411640,3698862626,130.623
26411640,26411641,115.535
26411641,597665412,81.002
26412251,1685958857,5.312
26412251,1095691571,193.98899999999998
26412251,1685958757,163.923
165996965,274242065,135.887
165997300,1001584084,60.149
165997300,984409420,80.99199999999999
165997625,4502672959,54.389
165997625,166091633,60.781000000000006
165997863,165997979,66.653
165997863,288373551,61.913000000000004
165997979,508018737,34.093999999999994
165998789,3066143624,55.007999999999996
165998789,165999009,324.90100000000007
165999009,1002550816,12.592
165999009,9736395042,40.426
165999009,257508650,212.432
165999248,4510115822,11.017
165999248,1013426594,34.657
166091633,5012578128,58.883
166091633,279084958,37.032000000000004
166091692,1615603762,23.791999999999998
232200869,525449212,203.78500000000003
232216516,1618530586,77.90799999999999
232216516,1023011943,51.202
232216516,1026550170,97.78899999999999
232216519,288361310,22.721
232216519,1618530574,54.956
232216520,1026550194,44.235
232216520,288361310,50.853
232216520,5090469984,53.547000000000004
232216521,5090469981,9.485
232216521,257171458,392.39300000000003
232216521,5090469984,19.583
232221477,2285675771,11.4
232221477,292204233,110.756
232221479,2688575200,561.4019999999999
232221479,2285675770,67.82600000000001
232221524,8394547231,26.919
232221524,2688581881,182.045
232221586,232221594,15.419
232221586,635737209,444.2450000000001
232221594,1974692376,227.421
232221594,239989632,553.311
232221594,232221586,15.419
232230172,1685958771,62.03
232230172,1685958949,292.57300000000004
232230172,1685958737,154.665
235148491,289558689,26.169
235220025,4869996051,20.303
235220025,566138764,60.646
236675147,241833128,110.977
236675154,1615604013,27.176
236675154,237489631,30.731
237489631,1615603974,71.571
237492204,1615603832,46.618
237492225,1041585733,19.24
237492225,316914543,319.08399999999995
239978159,517238708,2669.017999999999
239978159,1131046557,57.32
239978227,6435551380,13.863
239978227,517238708,202.17700000000002
239978228,1681318161,1043.3079999999995
239978228,6435551384,16.216
239978277,239978278,11.272
239978277,1681318161,1371.739
239978277,5085497928,100.586
239978278,239978277,11.272
239978278,291190526,243.81000000000003
239989632,239989634,77.311
239989632,312459990,164.20399999999998
239989632,232221594,553.3110000000001
239989634,239989632,77.311
239989634,1072934548,62.660000000000004
239989636,1072934037,34.078
239989636,1078809413,450.29699999999997
239990432,239990433,32.766
239990433,239990443,235.99800000000002
239990443,526901913,35.564
