u,v,length
1,1734,38.526
1,557,30.191
2,2336,130.623
2,3,115.535
3,1012,81.002
4,2046,5.312
4,1548,193.98899999999998
4,2042,163.923
5,185,135.887
6,1244,60.149
6,1137,80.99199999999999
7,2393,54.389
7,13,60.781000000000006
8,9,66.653
8,323,61.913000000000004
9,870,34.093999999999994
10,2296,55.007999999999996
10,11,324.90100000000007
11,1274,12.592
11,2966,40.426
11,157,212.432
12,2395,11.017
12,1359,34.657
13,2537,58.883
13,216,37.032000000000004
14,1693,23.791999999999998
15,2978,203.78500000000003
16,1725,77.90799999999999
16,1361,51.202
16,1371,97.78899999999999
17,311,22.721
17,1724,54.956
18,1377,44.235
18,311,50.853
18,2576,53.547000000000004
19,2575,9.485
19,147,392.39300000000003
19,2576,19.583
20,2157,11.4
20,436,110.756
21,2222,561.4019999999999
21,2156,67.82600000000001
22,2833,26.919
22,2224,182.045
23,24,15.419
23,1032,444.2450000000001
24,2133,227.421
24,38,553.311
24,23,15.419
25,2043,62.03
25,2054,292.57300000000004
25,2039,154.665
26,342,26.169
27,2514,20.303
27,949,60.646
28,55,110.977
29,1712,27.176
29,30,30.731
30,1707,71.571
31,1698,46.618
32,1449,19.24
32,690,319.08399999999995
33,882,2669.017999999999
33,1582,57.32
34,2696,13.863
34,882,202.17700000000002
35,1946,1043.3079999999995
35,2697,16.216
36,37,11.272
36,1946,1371.739
36,2561,100.586
37,36,11.272
37,426,243.81000000000003
38,39,77.311
38,618,164.20399999999998
38,24,553.3110000000001
39,38,77.311
39,1512,62.660000000000004
40,1504,34.078
40,1518,450.29699999999997
41,42,32.766
42,43,235.99800000000002
43,909,35.564
44,2628,61.509
44,1150,50.913
45,46,17.187
45,2627,6.996
46,45,17.187
46,1150,63.662
46,2538,18.764000000000003
47,2925,33.727000000000004
47,2712,38.6
48,1408,25.821
48,2176,41.571
49,2837,38.109
49,368,109.103
50,688,95.178
50,2233,108.831
51,716,247.209
51,714,439.49799999999993
52,995,58.762
52,529,127.458
53,991,109.296
54,691,24.991
55,290,77.184
55,286,66.857
56,2351,21.925
56,2385,73.551
56,180,343.7870000000001
57,1157,19.851
57,1154,48.940999999999995
58,59,17.252
58,1132,58.797
59,919,27.509
59,2680,29.130999999999997
60,903,63.649
60,249,82.901
61,1684,88.392
62,2191,150.29100000000003
63,998,10.408
63,2839,50.525000000000006
64,997,189.719
64,439,203.008
65,168,69.428
65,361,114.64100000000002
66,1413,34.135
66,2682,186.478
67,810,77.265
67,1690,42.263
68,2011,70.02699999999999
68,897,274.554
68,898,58.991
69,1519,476.096
69,1959,73.83200000000001
69,1528,83.746
70,1955,323.66700000000003
70,1965,206.04500000000002
70,2899,522.625
71,2127,160.236
71,967,115.79100000000001
71,2128,193.35000000000002
72,1642,234.964
72,89,43.968
73,2308,9.112
73,2307,19.864
73,93,69.614
74,2307,36.403
74,2306,120.782
74,1432,39.101
75,789,99.27800000000002
75,789,77.36399999999999
75,1125,250.925
76,471,373.643
76,475,149.71500000000003
76,2073,1236.9189999999999
77,2071,391.764
77,2631,41.193999999999996
77,2631,45.489000000000004
78,2063,440.701
78,79,246.111
78,2631,573.431
79,479,155.33900000000003
79,476,266.645
79,78,246.111
80,252,264.344
80,2718,243.40800000000002
80,1102,18.279
81,2166,12.107
81,1102,1651.9479999999999
82,2607,199.16899999999998
82,2820,46.281
82,816,48.885999999999996
83,88,77.05199999999999
83,1643,240.9
83,91,56.090999999999994
84,788,138.279
84,1449,103.35
85,2491,92.423
85,110,204.90099999999998
86,2306,156.435
86,83,303.506
86,87,102.054
87,2128,9.037
87,2305,10.233
88,83,77.05199999999999
89,72,43.971999999999994
89,2933,92.873
90,86,54.302
90,91,303.454
91,94,54.997
92,586,43.345
93,90,56.587
94,2632,574.6699999999998
94,582,146.276
95,96,57.549
96,95,57.54899999999999
96,92,51.599
96,74,103.477
97,752,36.457
97,328,139.96800000000002
98,796,170.27599999999998
99,587,42.742000000000004
99,562,26.060000000000002
100,103,42.773
100,2956,73.454
101,100,116.65299999999999
101,1422,61.300000000000004
102,73,47.012
103,94,41.44
103,583,146.36300000000003
104,105,61.105999999999995
104,96,68.996
105,98,173.84300000000002
106,2485,344.3650000000001
107,331,13.506
107,2167,424.4659999999999
108,332,255.58700000000005
108,109,293.29499999999996
109,115,859.7660000000002
110,111,66.75399999999999
110,97,64.779
111,2491,152.09900000000002
112,586,66.015
112,2309,51.247
113,794,9.529
113,795,130.638
114,1441,36.876
114,2506,7.018000000000001
115,1425,254.978
116,174,5.133
116,298,59.495
117,905,271.424
117,1423,280.182
118,2167,753.9240000000001
119,757,23.945999999999998
119,2518,45.358999999999995
120,121,139.03699999999998
121,122,1023.6939999999998
121,120,139.03699999999998
122,123,24.973
122,121,216.58100000000002
123,122,24.973
123,124,94.584
123,1483,82.13499999999999
124,427,80.052
124,123,94.584
124,1490,82.97900000000001
124,2713,50.562
125,141,45.859
125,417,227.41999999999996
126,2623,82.719
126,953,79.31
127,126,149.954
128,1987,218.10600000000005
128,1073,237.762
129,128,643.651
130,1476,49.152
130,1079,41.006
131,2110,37.301
131,2887,111.724
132,2111,152.65800000000002
133,2831,132.06300000000002
134,2826,14.137
135,450,445.30600000000004
135,1125,95.644
135,792,317.558
136,2713,11.398
136,592,35.694
136,1491,9.972000000000001
137,2713,17.932000000000002
137,136,14.105
138,137,11.962
138,139,34.650999999999996
139,140,50.162
139,138,34.650999999999996
140,415,44.118
140,139,50.162
140,268,245.62299999999996
141,746,46.948
142,1488,49.526
142,186,73.176
143,2213,11.946
143,1614,39.217
144,1612,111.601
145,148,75.06
145,149,39.885
146,151,33.057
146,1366,30.682000000000002
147,19,392.39300000000003
147,1388,49.81399999999999
148,145,75.06
149,1366,47.181
149,150,116.941
150,1367,40.464
150,194,73.797
150,444,64.986
150,1364,66.143
151,1743,46.698
151,146,33.057
151,1265,78.558
152,153,341.841
153,2077,545.6040000000002
153,152,341.841
154,1558,942.2590000000001
154,1549,28.213
154,1554,638.4889999999999
154,1546,144.66899999999998
155,2402,240.96500000000003
155,434,44.354
156,440,63.217999999999996
156,2459,114.353
156,194,58.29899999999999
157,345,130.791
157,2187,14.141000000000002
158,2558,13.643
159,604,592.0540000000001
160,159,417.87800000000004
160,623,378.276
161,2487,8.167
161,162,64.738
161,329,107.79899999999999
162,1451,47.237
163,2292,30.116
164,1214,12.732
164,738,42.151
165,995,112.66099999999999
165,529,65.40700000000001
166,2238,23.304000000000002
166,2192,22.650999999999996
167,2804,59.084999999999994
168,2257,119.802
168,2107,80.687
169,170,31.715999999999998
170,171,22.458
170,171,249.22000000000003
171,2169,6.308
172,173,103.653
172,173,175.63899999999998
173,765,244.22799999999995
174,344,14.526
174,952,51.772
175,343,129.48100000000002
175,176,111.72200000000001
176,2679,62.259
176,26,62.449999999999996
177,178,55.058
177,2318,55.53
178,2569,23.201
179,178,52.95100000000001
179,2318,96.03599999999999
180,56,343.78700000000003
180,2808,19.57
181,2806,25.604
181,1753,54.983
182,2569,102.976
183,486,42.104
183,1350,422.902
184,1025,78.786
184,2319,274.53499999999997
185,769,13.239
185,1758,39.891999999999996
186,1485,50.629
186,269,188.52299999999997
186,141,56.424
187,418,242.84699999999998
187,418,242.02800000000002
188,736,34.998999999999995
189,2873,98.52300000000001
189,542,135.032
190,509,136.663
190,1190,15.049
191,543,59.116
191,546,151.86200000000002
192,384,35.786
192,385,28.130000000000003
192,2252,33.342
193,1268,150.048
193,242,26.840000000000003
194,1743,57.079
194,156,58.299
194,150,73.797
195,250,39.003
195,2208,128.47
196,2322,259.12199999999996
196,2375,113.698
197,1246,101.611
197,144,83.174
198,2212,126.76499999999999
198,199,39.80500000000001
199,572,173.27800000000002
200,708,130.893
200,201,138.515
201,2287,24.326999999999998
201,2288,26.18
202,2738,7.275
202,204,302.14300000000003
203,2285,351.434
203,208,29.988
203,2740,35.985
204,2250,221.034
204,2249,261.81300000000005
205,847,362.9220000000001
205,2283,30.839999999999996
206,198,25.804000000000002
206,199,22.616
207,1319,35.994
